ID,artist,title,picture data,jpg url,image_path,born-died,period,school,url,base,nationality,image_exists,resolution,color_type,file_size
16737,GIOTTO di Bondone,no. 17 scenes from the life of christ: 1. nativity: birth of christ (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/3christ/chris010.jpg,complete/artwork\16737.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1100*1426,true color,191 kb
16738,GIOTTO di Bondone,legend of st francis: 14. miracle of the spring (detail),"1297-1300, fresco, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc141.jpg,complete/artwork\16738.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,709*1148,true color,126 kb
16739,GIOTTO di Bondone,legend of st francis: 13. institution of the crib at greccio (detail),"1297-1300, fresco, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc131.jpg,complete/artwork\16739.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,629*818,true color,95 kb
16740,GIOTTO di Bondone,allegory of chastity (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/42allego.jpg,complete/artwork\16740.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,850*961,true color,188 kb
16741,GIOTTO di Bondone,allegory of chastity (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/41allego.jpg,complete/artwork\16741.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1290,true color,248 kb
16742,GIOTTO di Bondone,franciscan allegories: allegory of chastity,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/40allego.jpg,complete/artwork\16742.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1222*1000,true color,246 kb
16743,GIOTTO di Bondone,allegory of obedience (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/32allego.jpg,complete/artwork\16743.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1293,true color,224 kb
16744,GIOTTO di Bondone,allegory of obedience (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/31allego.jpg,complete/artwork\16744.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,700*1207,true color,155 kb
16745,GIOTTO di Bondone,franciscan allegories: allegory of obedience,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/30allego.jpg,complete/artwork\16745.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1166*1000,true color,244 kb
16746,GIOTTO di Bondone,allegory of poverty (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/23allego.jpg,complete/artwork\16746.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,950*931,true color,188 kb
16747,GIOTTO di Bondone,allegory of poverty (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/22allego.jpg,complete/artwork\16747.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1229,true color,215 kb
16748,GIOTTO di Bondone,allegory of poverty (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/21allego.jpg,complete/artwork\16748.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*807,true color,177 kb
16749,GIOTTO di Bondone,franciscan allegories: allegory of poverty,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/20allego.jpg,complete/artwork\16749.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1159*1000,true color,233 kb
16750,GIOTTO di Bondone,the apotheosis of st francis (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/11allego.jpg,complete/artwork\16750.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,852*1100,true color,239 kb
16751,GIOTTO di Bondone,franciscan allegories: the apotheosis of st francis,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/10allego.jpg,complete/artwork\16751.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1087*1000,true color,234 kb
16752,GIOTTO di Bondone,franciscan allegories,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/01allego.jpg,complete/artwork\16752.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,800*916,true color,198 kb
16753,GIOTTO di Bondone,franciscan allegories,"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/00allego.jpg,complete/artwork\16753.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,825*1010,true color,240 kb
16754,GIOTTO di Bondone,allegory of chastity (detail),"c. 1320, fresco, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/crossing/43allego.jpg,complete/artwork\16754.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*812,true color,150 kb
16755,GIOTTO di Bondone,st francis points to death,"c. 1320, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/12franci.jpg,complete/artwork\16755.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1000*1346,true color,163 kb
16756,GIOTTO di Bondone,the death of the boy in sessa,"1315-20, fresco, north transept, lower church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/lower/ceiling/10christ.jpg,complete/artwork\16756.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1093*800,true color,133 kb
